commit_hash,ip_block,commit_message,categories,at_risk_dv_files,justification,confidence,model,in_tokens,out_tokens,cost_usd
f51ba620f058c10bd4decbe17418a5c99be538a7,otbn,"[otbn,rtl] Integrate `prim_trivium` in OTBN RTL to serve URND","[""INTERFACE_DRIFT"", ""CHECKER_DESYNC""]","[""*_env_pkg.sv"", ""*_if.sv"", ""*_agent.sv"", ""*_driver.sv"", ""*_monitor.sv"", ""*_scoreboard.sv"", ""*_ref_model.sv""]","The DV diff shows critical interface changes: EDN request/response signals changed from individual scalar ports (edn_urnd_req_o, edn_urnd_ack_i, edn_urnd_data_i) to structured ports (edn_urnd_o as edn_req_t, edn_urnd_i as edn_rsp_t). This breaks DV components that encode explicit knowledge of the URND interface. Additionally, the otbn_core_model.sv reference model was updated with new behavioral logic for Bivium reseeding, indicating scoreboard desynchronization without corresponding updates to assertion binding or coverage models for the new PRNG behavior.",HIGH,claude-haiku-4-5-20251001,8536,259,0.009831
b13dc6ff8ebb9282155f5c2fbb0e7798d6a76f34,i2c,"[I2C, DV, RTL] Remove a non-existent assertion from DV / RTL","[""ASSERTION_ORPHANING""]","[""*_vseq.sv""]","The DV diff removes a $assertoff() call from i2c_host_error_intr_vseq.sv that referenced a non-existent assertion path. The assertion was removed from RTL (i2c_core.sv), making the hierarchical reference in the sequence invalid and causing simulator failures. This is a direct case of assertion orphaning where the DV code referenced an RTL assertion that no longer exists.",HIGH,claude-haiku-4-5-20251001,2986,152,0.003746
7da23e4872588729c5a2dacd8a91c2d148276b9c,entropy_src,[entropy_src] Add CSR to control one-way behavior of threshold registers,"[""SEQUENCE_INVALIDATION"", ""CHECKER_DESYNC"", ""COVERAGE_REGRESSION""]","[""*_vseq.sv"", ""*_seq.sv"", ""*_scoreboard.sv"", ""*_cov_if.sv""]","The commit adds a new CSR (THRESHOLD_ONEWAY) that controls threshold register one-way behavior. The scoreboard's predict_one_way_threshold function now conditionally applies one-way constraints based on THRESHOLD_ONEWAY value (lines show `one_way_threshold = `gmv(ral.threshold_oneway) != MuBi4False`), requiring updated sequences to exercise this new control knob and coverage points to track the new alert bit. The scoreboard must now synchronize its reference model to the conditional one-way behavior.",HIGH,claude-haiku-4-5-20251001,8041,219,0.009136
1a453313bf3ebde0e7c6805608c485265bd288c2,entropy_src,[entropy_src] Unify FIPS and bypass threshold registers to save area,"[""RAL_DESYNC"", ""CHECKER_DESYNC""]","[""*_scoreboard.sv"", ""*_cov_if.sv"", ""*_reg_block.sv""]","The RTL unified FIPS and bypass threshold registers into single threshold registers, eliminating separate fips_thresh and bypass_thresh fields. The DV diff shows explicit RAL reference updates in entropy_src_scoreboard.sv (removing fips_mode parameter and field accesses) and entropy_src_cov_if.sv (register name constant updates), indicating both register model desynchronization and scoreboard reference model behavioral changes to match the unified register architecture.",HIGH,claude-haiku-4-5-20251001,9745,182,0.010655
8c5b8d99a27de1b7011ee55026fd374676a9b55e,otbn,"[otbn,rtl] Integrate vectorized multiplication instructions","[""INTERFACE_DRIFT"", ""CHECKER_DESYNC""]","[""*_env_cov.sv"", ""*_if.sv"", ""*_scoreboard.sv"", ""*_ref_model.sv""]","The DV diff shows signal name changes in the trace interface (acc_en → acc_wr_en, acc_blanked → acc_add_blanked, acc_ispr_intg_err → mac_ispr_intg_err) that break explicit knowledge of design signals in both the tracer interface and coverage model. These renamed signals are accessed by DV components that monitor and verify MAC bignum behavior, requiring updates to scoreboards and reference models to remain synchronized with the RTL's new signal semantics.",HIGH,claude-haiku-4-5-20251001,6679,212,0.007739
da7fc3571b4a3d8dffd34b230def5472edd7c593,lc_ctrl,"[lc_ctrl,rtl] change lc_flash_rma to lc_nvm_rma","[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION"", ""COVERAGE_REGRESSION""]","[""*_if.sv"", ""*_env_pkg.sv"", ""*_base_vseq.sv"", ""*_cov_bind.sv"", ""*_cov_if.sv"", ""*_env_cov.sv""]","Signal renaming from lc_flash_rma_* to lc_nvm_rma_* breaks DV interface declarations, task signatures in sequences, and coverage collection points. The interface file (lc_ctrl_if.sv) renamed ports and tasks; environment package (lc_ctrl_env_pkg.sv) renamed error injection fields; base sequences (lc_ctrl_base_vseq.sv) renamed task names; and coverage files updated state bins and coverpoints to match the new signal names.",HIGH,claude-haiku-4-5-20251001,9513,245,0.010738
39b68490c8d548cafa877934dcf4946280110c28,otbn,[otbn] Increase DMEM to 32KiB,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION""]","[""*_if.sv"", ""*_agent.sv"", ""*_driver.sv"", ""*_monitor.sv"", ""*_vseq.sv"", ""*_seq.sv""]","The DMEM address width parameter change from 12 to 15 bits in otbn_trace_if.sv breaks the DV interface contract, and the memory size increase (4096 to 32768 bytes) in otbn_memutil.cc affects how DV utilities interact with memory. Sequences that hardcode memory addresses or assumptions about DMEM size will fail with the new 32KiB DMEM layout.",HIGH,claude-haiku-4-5-20251001,3363,192,0.004323
5490680e74fc11238ceaab7fe5fbe05ce40663d9,otbn,[otbn] Increase IMEM to 16KiB,"[""INTERFACE_DRIFT""]","[""*_if.sv"", ""memutil/*""]","The IMEM size increase from 8KiB to 16KiB requires updates to DV component parameters and constants that encode explicit knowledge of the memory interface. The trace interface parameter ImemAddrWidth changes from 13 to 14 bits, and the memutil C++ utility updates the IMEM word count from 8192/4 to 16384/4, reflecting a structural interface change that breaks any DV components relying on the old memory dimensions.",HIGH,claude-haiku-4-5-20251001,2502,165,0.003327
6c3c7e9a6f02ce8763432f45379c312e9ccf9661,aes,[aes/dv] Test GHASH.FSM.LOCAL_ESC countermeasure,"[""SEQUENCE_INVALIDATION""]","[""*_vseq.sv"", ""*_seq_lib.sv""]","The commit adds a new fault injection test sequence (aes_ghash_fi_vseq.sv) that depends on new DV-specific interface signals and fault injection capabilities (fi_ghash_if.sv). The sequence references RTL state enum values (aes_pkg::GHASH_IDLE, aes_pkg::GHASH_MULT, etc.) and invokes fault injection methods on cfg.aes_ghash_fi_vif that must align with the updated error injection interface. Any mismatch between the sequence's assumptions about injectable signals and the actual interface definition would render the sequence structurally invalid.",MEDIUM,claude-haiku-4-5-20251001,5137,207,0.006172
e0d342218eb796ae1ffd8cba5eedc6fcf9422d87,entropy_src,[entropy_src] Align spelling of health tests,"[""OTHER""]",[],"The commit only updates documentation strings and comments in DV files to align test name spelling with NIST spec terminology. No functional changes to DV infrastructure, sequences, monitors, scoreboards, assertions, coverage models, or RAL files are present. The changes are purely cosmetic comment updates.",HIGH,claude-haiku-4-5-20251001,3123,107,0.003658
90bb0f069ab4bf8c1fbc1d47c0edfe863bf9e56b,aes,"[aes,dv] Modify c_dpi_aes_crypt_message interface","[""INTERFACE_DRIFT"", ""CHECKER_DESYNC""]","[""*_scoreboard.sv"", ""*_model_dpi_pkg.sv""]","The DPI-C function interface c_dpi_aes_crypt_message has been modified with new parameters (data_len_i, aad_len_i, crypto_res), breaking the DPI function signature. The scoreboard calls this function but has been updated to match the new interface; however, any other DV components calling the old interface will fail (INTERFACE_DRIFT). Additionally, the reference model behavior has changed to return error codes and handle explicit length parameters instead of deriving them from array sizes, which may affect scoreboard predictions for GCM mode tag mismatch scenarios (CHECKER_DESYNC).",HIGH,claude-haiku-4-5-20251001,4696,214,0.005766
094c7c940c9e415fcb069c14f812d0d08355d24c,entropy_src,[entropy_src] Only use a single watermark register to reduce area,"[""SEQUENCE_INVALIDATION"", ""CHECKER_DESYNC"", ""RAL_DESYNC""]","[""*_scoreboard.sv"", ""*_vseq.sv"", ""*_seq_lib.sv"", ""*_reg_block.sv"", ""*_ral_pkg.sv""]","The commit removes multiple watermark registers (9 total, one per health test) and replaces them with a single shared watermark register controlled by a new HT_WATERMARK_NUM CSR. The DV scoreboard's `update_watermark()` function signature changed (removed fips_mode parameter, added disabling parameter) and its logic was rewritten to check if the selected test matches ht_watermark_num before updating. Sequences that accessed individual watermark registers now need refactoring, and the RAL model requires explicit updates to reflect the new register structure.",HIGH,claude-haiku-4-5-20251001,8459,232,0.009619
f88ac37a4caf0039159e8281f660515401c1cc59,otbn,"[otbn,dv] Model the local escalation registering in the tracer","[""CHECKER_DESYNC""]","[""*_scoreboard.sv"", ""*_checker.sv"", ""*_ref_model.sv""]","The DV tracer module now registers (pipelines by one cycle) the integrity error signals before feeding them to the internal_intg_err_i interface. Any scoreboard or reference model that was checking these signals combinatorially will now be misaligned with the updated design behavior, as the error signals will appear one cycle later than previously modeled.",HIGH,claude-haiku-4-5-20251001,2076,147,0.002811
05bda859a7dcda6d0e222de33bcdf985ccfb6023,otbn,"[otbn,rtl] Clean up naming of predecoded signals","[""INTERFACE_DRIFT"", ""ASSERTION_ORPHANING""]","[""*_vseq.sv"", ""*_bind.sv"", ""*_if.sv"", ""*_trace_if.sv""]",The commit renames predecoded signal ports from `*_predec_bignum` to `*_bignum_predec` across multiple RTL modules. The DV diff shows breaking changes in testbench files that directly reference these signal names via hierarchical paths in sequence code (otbn_ctrl_redun_vseq.sv using uvm_hdl_read) and tracer interface bindings (otbn_trace_if.sv accessing internal signals). These signal name changes break both assertion/binding paths and sequence HDL access patterns.,HIGH,claude-haiku-4-5-20251001,6892,206,0.007922
25d1f8f47a635a6c32293a774e5c38882c3f677d,aes,[aes] Integrate GHASH module into design and interface main controller,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION""]","[""*_env_pkg.sv"", ""*_if.sv"", ""*_agent.sv"", ""*_vseq.sv"", ""*_seq_lib.sv""]","The RTL diff adds new control signals (ghash_in_valid_o, ghash_in_ready_i, ghash_out_valid_i, ghash_out_ready_o, ghash_load_hash_subkey_o, data_out_sel_o) to the aes_control module interface and introduces an AESGCMEnable parameter. The DV diff shows updates to sequences that reference FSM states (CTRL_PRNG_UPDATE → CTRL_GHASH_READY), indicating state machine changes that invalidate existing sequence assumptions. New control interface signals require corresponding driver, monitor, and sequence updates.",HIGH,claude-haiku-4-5-20251001,6286,238,0.007476
