commit_number,commit_hash,ip_block,commit_message,is_ground_truth,llm_categories,llm_confidence,llm_justification
1,8b0b5b189e1eef980b88605a111672d47e0d7136,otp_ctrl,[otp_ctrl] Split TL-UL interfaces into 'core' and 'prim',NO,"[""INTERFACE_DRIFT"", ""RAL_DESYNC"", ""ASSERTION_ORPHANING""]",HIGH,The commit splits the single TL-UL interface (tl_i/tl_o) into two separate interfaces (core_tl_i/core_tl_o and prim_tl_i
2,11017d6bb5b510fbdd8d6c91dcb1260ee38d0fe1,dcd,[dcd] add auto generated tb,NO,"[""OTHER""]",HIGH,"This commit adds an autogenerated DCD testbench infrastructure (new DV files, environment, tests, and configuration). Th"
3,81cfbe0cfd8bfbb2b18f9a54cf14de31ceb4deb1,spi_device,[spi_device] Harmonize address mode syncs to byte beats,NO,"[""SEQUENCE_INVALIDATION"", ""RAL_DESYNC""]",HIGH,"The commit changes the register map structure, moving addr_4b_en from ral.cfg to ral.addr_mode and adding a new pending "
4,07159d5952ab29f981950c72e289846e1389a2d7,otbn,"[otbn,rtl] Separate wipe value of last WDR and ACC register",NO,"[""CHECKER_DESYNC""]",MEDIUM,The RTL extends the secure wipe cycle from 66 to 67 cycles due to an extra clock cycle needed to separate WDR[31] and AC
5,1321b6f2b949085b8c3ef8b2ae4eafa02554699f,otp_ctrl,[otp_ctrl] Support SW partitions without digest,NO,"[""INTERFACE_DRIFT""]",HIGH,The DV diff shows a critical path update in otp_ctrl_if.sv where the ECC_REG_PATH macro now includes an additional hiera
6,e41a401f28b7bb2676fd95f84afff869df9402b4,pwrmgr,[pwrmgr] Streamline usb clock enable controls,NO,"[""ASSERTION_ORPHANING""]",HIGH,"The RTL introduces a new derived signal `usb_clk_en_lp` that applies conditional logic (main_pd_ni & usb_clk_en_lp_i), b"
7,5c21925fc18d0f641c2ca42f177e2c382d4e5d7c,sram_ctrl,[sram_ctrl] Harden initialization counter,NO,"[""SEQUENCE_INVALIDATION"", ""CHECKER_DESYNC""]",HIGH,The RTL changes introduce dual-redundant initialization counters with a new init_error signal and alter the initializati
8,071972319c4aa79ee3d0c9d7f47742ff90281cdb,spi_device,[spi_device] Add flash mode interrupts,NO,"[""INTERFACE_DRIFT""]",HIGH,"Four new interrupt output ports (intr_cmdfifo_not_empty_o, intr_payload_not_empty_o, intr_readbuf_watermark_o, intr_read"
9,bd161af75d866fe99c36e7df3549c48f4db559a0,i2c,[i2c] Update tx_empty to status based interrupt,NO,"[""SEQUENCE_INVALIDATION"", ""RAL_DESYNC""]",HIGH,"The RTL changes convert tx_empty from a write-clearable interrupt (SwAccessW1C) to a read-only status bit (SwAccessRO), "
10,b1ba59b519d632b1ef7f2dda4ece681d6c65b0b8,flash_ctrl,[flash / top / ast] functional updates,NO,"[""INTERFACE_DRIFT""]",HIGH,The DV diff shows testbench wrapper and TB top-level changes updating signal names (lc_dft_en_i → lc_nvm_debug_en_i) and
11,039ab4b338855f53476ffd03a0b143fb36bdb751,otbn,"[otbn,rtl] Refactor loop control so commit doesn't factor into prefetch",NO,"[""INTERFACE_DRIFT""]",HIGH,The RTL refactoring renamed the internal signal `loop_stack_push` to `loop_stack_push_req` to decouple push requests fro
12,b058bfe50707f0387891a892baaecb3625480e7b,spi_host,"[hw,spi_host,rtl] Increase command length to 20-bit",YES,"[""INTERFACE_DRIFT"", ""SEQUENCE_INVALIDATION""]",HIGH,"The RTL change extends the command length field from 9-bit to 20-bit, which directly impacts the DV interface. The DV di"
